Entreprise / Services;Numéro payant;Numéro non surtaxé;Informations complémentaires
Rueducommerce;0892465666 (service 0,60 €/min + prix appel);0809400376;Aucunes
Ryanair;0892562150 (0,34€/min);0180144453;Aucunes
Samsung;NC;0148630000;Aucunes
Sélia;NC;0969397001;Aucunes
Sephora;NC;0809404045;Aucunes
Service d'information des impôts;NC;0809401401;Aucunes
Service des retraites de l'état (SRE);NC;0240088765;Actifs
Service des retraites de l'état (SRE);NC;0970823335;Retraités
SFAM;NC;0427433333;Aucunes
SFAM;NC;0426911782;Aucunes
SFR;NC;1023;Aucunes
Showroomprivé;NC;0185760000;Aucunes
SNCF;NC;3635;Aucunes
Sowee;NC;0806800444;Aucunes
Spotify;NC;Voir informations complémentaires;https://www.spotify.com/fr/aboutAucunesus/contact/
Total énergies;NC;0970806969;Aucunes
Truffaut;NC;0806800420;Aucunes
UPS;NC;0173006661;Aucunes
Urban Solar Energy;NC;0428297552;Aucunes
Urssaf;NC;3698;Aucunes
Urssaf;NC;0821086028;Autoentrepreneurs
Vattenfall;NC;0806800308;Aucunes
Velux;NC;0806801515;Aucunes
Vente privée (Veepee);NC;0809108888;Aucunes
Voyage privé;0892426425 (0,34€/min);0176493031;Aucunes
Wekiwi;NC;0970267050;Aucunes
Yéli;NC;0457650073;Aucunes
Zalando;NC;0182884963;Aucunes
Zalando;NC;0122222222;TEST
